Id,field,age,type,harvest_year,harvest_month,production
0,0,19,5,2004,1,0.06407108239095315
1,0,19,5,2004,2,0.04765751211631664
2,0,19,5,2004,3,0.016865912762520193
3,0,19,5,2004,4,0.025525040387722138
4,0,19,5,2004,5,0.047689822294022625
5,0,19,5,2004,6,0.1475282714054927
6,0,19,5,2004,7,0.36827140549273035
7,0,19,5,2004,8,0.43919224555735065
8,0,19,5,2004,9,0.41108239095315036
9,0,19,5,2004,10,0.42946688206785133
10,0,19,5,2004,11,0.36003231017770604
11,0,19,5,2004,12,0.20252019386106626
12,0,20,5,2005,1,0.12597738287560586
13,0,20,5,2005,2,0.04549273021001616
14,0,20,5,2005,3,0.05260096930533118
15,0,20,5,2005,4,0.018610662358642973
16,0,20,5,2005,5,0.07806138933764137
17,0,20,5,2005,6,0.18468497576736673
18,0,20,5,2005,7,0.12885298869143783
19,0,20,5,2005,8,0.2592245557350566
20,0,20,5,2005,9,0.6667205169628434
21,0,20,5,2005,10,0.29599353796445876
22,0,20,5,2005,11,0.34090468497576737
23,0,20,5,2005,12,0.13004846526655897
24,0,21,5,2006,1,0.121453957996769
25,0,21,5,2006,2,0.07382875605815833
26,0,21,5,2006,3,0.05318255250403878
27,0,21,5,2006,4,0.031207108239095324
28,0,21,5,2006,5,0.06785137318255251
29,0,21,5,2006,6,0.03851373182552504
30,0,21,5,2006,7,0.08646203554119548
31,0,21,5,2006,8,0.13428109854604203
32,0,21,5,2006,9,0.19990306946688208
33,0,21,5,2006,10,0.4635218093699517
34,0,21,5,2006,11,0.22264943457189013
35,0,21,5,2006,12,0.16284329563812602
36,0,22,5,2007,1,0.18520193861066242
37,0,22,5,2007,2,0.07182552504038774
38,0,22,5,2007,3,0.03941841680129241
39,0,22,5,2007,4,0.020775444264943457
40,0,22,5,2007,5,0.02978998384491115
41,0,22,5,2007,6,0.047205169628432964
42,0,22,5,2007,7,0.09169628432956382
43,0,22,5,2007,8,0.1600969305331179
44,0,22,5,2007,9,0.15327948303715672
45,0,22,5,2007,10,0.4945718901453958
46,0,22,5,2007,11,0.43111470113085626
47,0,22,5,2007,12,0.19880452342487887
48,0,23,5,2008,1,0.11082390953150241
49,0,23,5,2008,2,0.0427140549273021
50,0,23,5,2008,3,0.06184168012924072
51,0,23,5,2008,4,0.09906300484652666
52,0,23,5,2008,5,0.05453957996768982
53,0,23,5,2008,6,0.1098869143780291
54,0,23,5,2008,7,0.11773828756058158
55,0,23,5,2008,8,0.36665589660743136
56,0,23,5,2008,9,0.5310177705977382
57,0,23,5,2008,10,0.5120840064620357
58,0,23,5,2008,11,0.28953150242326336
59,0,23,5,2008,12,0.23004846526655898
60,0,24,5,2009,1,0.10636510500807755
61,0,24,5,2009,2,0.05641357027463652
